"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"8:35:21.1680979 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"8:35:21.1681268 PM","csgo.exe","17860","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"8:35:21.1681656 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"8:35:21.1682740 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\57a6ed1a-79f7-5011-b242-4784e5620cf7","NAME NOT FOUND","Length: 528"
"8:35:21.1683700 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"8:35:21.1692168 PM","csgo.exe","17860","CreateFile","C:\Windows\System32\wow64log.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"8:35:21.1694317 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wow64\x86\csgo.exe","NAME NOT FOUND","Length: 520"
"8:35:21.1698357 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"8:35:21.1698877 PM","csgo.exe","17860","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"8:35:21.1699659 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"8:35:21.1701933 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"8:35:21.1711051 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\3c74afb9-8d82-44e3-b52c-365dbf48382a","NAME NOT FOUND","Length: 528"
"8:35:21.1712309 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\b749553b-d950-5e03-6282-3145a61b1002","NAME NOT FOUND","Length: 528"
"8:35:21.1713502 PM","csgo.exe","17860","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","NAME NOT FOUND","Desired Access: Read"
"8:35:21.1713955 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\05f95efe-7f75-49c7-a994-60a55cc09571","NAME NOT FOUND","Length: 528"
"8:35:21.1715480 PM","csgo.exe","17860","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"8:35:21.1716861 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"8:35:21.1717154 PM","csgo.exe","17860","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"8:35:21.1717798 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LPGO","NAME NOT FOUND","Length: 20"
"8:35:21.1725443 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\8ccca27d-f1d8-4dda-b5dd-339aee937731","NAME NOT FOUND","Length: 528"
"8:35:21.1726305 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\LogFlags","NAME NOT FOUND","Length: 20"
"8:35:21.1726564 PM","csgo.exe","17860","RegOpenKey","HKLM\OSDATA\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","NAME NOT FOUND","Desired Access: Query Value"
"8:35:21.1726919 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\18608e62-a628-49d9-8c02-55972e097d24","NAME NOT FOUND","Length: 528"
"8:35:21.1728225 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\ShowDebugInfo","NAME NOT FOUND","Length: 20"
"8:35:21.1734087 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\sysmain.sdb","NAME NOT FOUND","Length: 0"
"8:35:21.1736094 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs","NAME NOT FOUND","Length: 20"
"8:35:21.1739892 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs","NAME NOT FOUND","Length: 20"
"8:35:21.1743398 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs","NAME NOT FOUND","Length: 20"
"8:35:21.1746847 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers\A:\SteamLibrary\steamapps\common\Counter-Strike Global Offensive\csgo.exe","NAME NOT FOUND","Length: 1,024"
"8:35:21.1750868 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs","NAME NOT FOUND","Length: 20"
"8:35:21.1754895 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs","NAME NOT FOUND","Length: 20"
"8:35:21.1756872 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\sysmain.sdb","NAME NOT FOUND","Length: 0"
"8:35:21.1976125 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\f3a71a4b-6118-4257-8ccb-39a33ba059d4","NAME NOT FOUND","Length: 528"
"8:35:21.1977090 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\ca967c75-04bf-40b5-9a16-98b5f9332a92","NAME NOT FOUND","Length: 528"
"8:35:21.1977407 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\b6fd710b-f783-4b1c-ab9c-c68099dcc0c7","NAME NOT FOUND","Length: 528"
"8:35:21.1980411 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorUseSystemHeap","NAME NOT FOUND","Length: 20"
"8:35:21.1981202 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorSystemHeapIsPrivate","NAME NOT FOUND","Length: 20"
"8:35:21.1982147 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\AggressiveMTATesting","NAME NOT FOUND","Length: 16"
"8:35:21.1983018 PM","csgo.exe","17860","RegOpenKey","HKLM\Software\Microsoft\Ole\FeatureDevelopmentProperties","NAME NOT FOUND","Desired Access: Read"
"8:35:21.1983165 PM","csgo.exe","17860","RegOpenKey","HKLM\SOFTWARE\Microsoft\AppModel\Lookaside\machine","NAME NOT FOUND","Desired Access: Read"
"8:35:21.1983288 PM","csgo.exe","17860","RegOpenKey","HKLM\SOFTWARE\Microsoft\AppModel\Lookaside\user","NAME NOT FOUND","Desired Access: Read"
"8:35:21.1983530 PM","csgo.exe","17860","RegOpenKey","HKLM\Software\Microsoft\Ole\FeatureDevelopmentProperties","NAME NOT FOUND","Desired Access: Read"
"8:35:21.1985199 PM","csgo.exe","17860","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft\Ole\FeatureDevelopmentProperties","NAME NOT FOUND","Desired Access: Read"
"8:35:21.1985502 PM","csgo.exe","17860","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft\Ole\FeatureDevelopmentProperties","NAME NOT FOUND","Desired Access: Read"
"8:35:21.1985810 PM","csgo.exe","17860","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft\Ole","NAME NOT FOUND","Desired Access: Read"
"8:35:21.1986912 PM","csgo.exe","17860","RegOpenKey","HKLM\SOFTWARE\Microsoft\Ole\Tracing","NAME NOT FOUND","Desired Access: Read"
"8:35:21.1987570 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\1aff6089-e863-4d36-bdfd-3581f07440be","NAME NOT FOUND","Length: 528"
"8:35:21.1987863 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\f0558438-f56a-5987-47da-040ca75aef05","NAME NOT FOUND","Length: 528"
"8:35:21.1988421 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\c7e09e2a-c663-5399-af79-2fccd321d19a","NAME NOT FOUND","Length: 528"
"8:35:21.1988663 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\703fcc13-b66f-5868-ddd9-e2db7f381ffb","NAME NOT FOUND","Length: 528"
"8:35:21.1998319 PM","csgo.exe","17860","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument","NAME NOT FOUND","Desired Access: Read"
"8:35:21.1998707 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\f25bcd2e-2690-55dc-3bc4-07b65b1b41c9","NAME NOT FOUND","Length: 528"
"8:35:21.1999672 PM","csgo.exe","17860","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\csgo.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"8:35:21.1999947 PM","csgo.exe","17860","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"8:35:21.2000268 PM","csgo.exe","17860","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"8:35:21.2000505 PM","csgo.exe","17860","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\csgo.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"8:35:21.2000936 PM","csgo.exe","17860","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"8:35:21.2001200 PM","csgo.exe","17860","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"8:35:21.2001990 PM","csgo.exe","17860","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize\DisableMetaFiles","NAME NOT FOUND","Length: 20"
"8:35:21.2002539 PM","csgo.exe","17860","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\csgo.exe","NAME NOT FOUND","Desired Access: Read"
"8:35:21.2002775 PM","csgo.exe","17860","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"8:35:21.2002927 PM","csgo.exe","17860","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
